measurement,Source Link,XPath,Load Time (ms),Timestamp
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],181,2024-08-05 06:00:56
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],202,2024-08-10 00:08:50
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],188,2024-08-08 18:05:07
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],188,2024-08-06 15:29:07
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],179,2024-08-11 19:24:12
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],192,2024-08-06 20:01:01
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],187,2024-08-13 13:58:32
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],180,2024-08-10 03:19:16
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],194,2024-08-11 05:29:05
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],205,2024-08-12 04:36:06
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],188,2024-08-07 05:52:59
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],173,2024-08-05 18:22:27
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],180,2024-08-13 02:58:33
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],196,2024-08-11 00:25:24
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],184,2024-08-04 05:38:52
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],177,2024-08-10 11:41:42
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],181,2024-08-11 07:01:12
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],185,2024-08-08 17:43:49
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],332,2024-08-13 16:30:06
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],190,2024-08-09 07:27:31
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],173,2024-08-11 20:44:27
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],174,2024-08-11 09:33:17
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],189,2024-08-14 22:23:51
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],192,2024-08-04 18:24:25
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],191,2024-08-10 05:23:46
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],183,2024-08-09 05:26:00
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],273,2024-08-07 18:47:37
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],204,2024-08-08 23:18:07
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],181,2024-08-12 02:25:56
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],188,2024-08-06 19:38:35
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],188,2024-08-06 09:23:07
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],296,2024-08-08 22:32:04
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],193,2024-08-07 08:10:12
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],186,2024-08-04 11:42:24
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],189,2024-08-13 08:50:53
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],275,2024-08-06 09:21:11
